seq1	TRACE-L2-000102	93.672	3777	239	0	3883	7659	1	3777	0.0	5651
seq1	TRACE-L3-000102	87.756	3855	472	0	7663	11517	1	3855	0.0	4505
seq1	TRACE-L1-000102	87.523	3879	484	0	1	3879	1	3879	0.0	4482
seq1	TRACE-L3-000004	85.329	3858	558	8	7663	11516	1	3854	0.0	3982
seq1	TRACE-L3-000333	85.148	3858	565	8	7663	11516	1	3854	0.0	3943
seq1	TRACE-L3-000009	85.044	3858	569	8	7663	11516	1	3854	0.0	3921
seq1	TRACE-L3-000105	85.022	3859	568	10	7663	11516	1	3854	0.0	3916
seq1	TRACE-L3-000029	85.014	3857	572	6	7663	11516	1	3854	0.0	3916
seq1	TRACE-L3-000019	85.018	3858	570	8	7663	11516	1	3854	0.0	3916
seq1	TRACE-L3-000016	85.018	3858	570	8	7663	11516	1	3854	0.0	3916
